Time,DayOfYear,Hour,O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi
2010-01-28 04:00:00,28,4,11.25,279.12,2.14,27.6,3.039970296033551,3.5277925591122212,1.936341674736252,0.6527394361125365,0.3076269020001089,1.5176787904325948,0.809307927486076,15.63281483102312,0.4088642758251084,278.45,0.9,0.693772,3.11272,1.8403,3.91661,2.46081,0.648472
2010-01-28 08:00:00,28,8,2.355,359.78,23.52,68.75,3.525515811671646,5.738178396132027,2.8429621324091534,1.5099004326922136,1.0336858574012178,1.9652673571540835,0.9247383691552852,32.11742003216249,0.4821151355455316,278.75,0.8,2.29097,3.55174,1.364,3.08231,1.69932,0.513799
2010-01-28 17:00:00,28,17,6.768000000000001,293.76,7.3,45.11,3.8273275796286783,5.492992092594406,2.1602044456740956,1.505459152560232,1.097388252705296,2.1232558876200875,1.260553538909855,27.878402606290337,0.7692537180117013,278.25,0.81,2.19912,4.62096,0.948906,1.52809,1.72117,0.510183
2010-01-28 18:00:00,28,18,14.26,258.2,5.38,37.12,3.537761862590588,4.368892371699727,2.329408578272551,1.5840065210359884,1.0836613192821118,1.9639520412387137,1.3320713083168254,24.222367585597546,0.4115273994015452,278.34999999999997,0.81,1.51268,3.58877,0.593887,0.935438,1.17227,0.482936
2010-01-28 19:00:00,28,19,6.66,345.94,8.0,51.98,3.649357875042897,3.778325754534454,2.5423990331059287,1.5825877671007238,1.068488854138553,1.9954070057309992,1.2185675296796026,31.711330797605193,0.5072502344692064,278.34999999999997,0.78,1.76518,4.97875,0.59189,1.07021,1.0579,0.530038
2010-01-28 20:00:00,28,20,4.21,349.6,6.44,50.2,3.6164858547554646,4.406320614892011,2.4873245138226534,1.347909608635156,0.9387166236706128,1.9119996443834264,1.121115667563375,24.81579845686591,0.5469277834844358,277.75,0.82,1.7812,6.06424,0.598441,1.1453,1.00723,0.538702
2010-01-28 22:00:00,28,22,8.096,322.86,4.49,43.55,3.9200459227955418,4.856952809311353,2.4197141546593666,1.1136785155386906,0.6492389122502092,1.853116048205088,1.0625895050803913,22.809160740684767,0.436363270957081,277.75,0.85,1.53609,6.40563,0.76027,1.69015,1.0216,0.591361
2010-01-28 23:00:00,28,23,12.782,303.32,2.45,33.3,3.450193159272568,4.235605436161691,1.74598702556299,0.9461053663456448,0.5501842498778268,1.636788686339859,0.9155372780596204,18.82877481552946,0.3099995533919878,277.75,0.86,1.22981,4.84461,0.835291,1.94447,1.03423,0.585875
2010-01-29 00:00:00,29,0,13.231,304.28,1.86,29.2,3.0094330404520804,3.8570358566917182,1.6265697831041084,0.7519716603507606,0.439850443084299,1.4479667362069464,0.7651891272831117,14.93156663521968,0.3141887365459336,277.45,0.89,1.0936,3.90545,0.761224,1.84867,0.851379,0.5741689999999999
2010-01-29 19:00:00,29,19,16.827,262.28,3.8,30.3,2.747222000797364,3.830734929043085,1.2916668001485287,0.9596424161786148,0.6389123933387013,1.4754843776716078,0.7097302008554031,18.29135006843526,0.2744214193202626,276.54999999999995,0.76,1.05337,2.41316,0.267413,0.425003,0.415417,0.473476
